Date,Site,Hi_Lo,Replicate,TransectDepth,Pelagic_Benthic,Length,CommonName,Sex,Family,Genus,Species,Latin,a,b,abSource
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,5,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Blackeye Goby,,Gobiidae,Rhinogobiops,nicholsii,Rhinogobiops nicholsii,0.00871,3.08,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,4,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,5,Longfin Sculpin,,Cottidae,Jordania,zonope,Jordania zonope,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,14,Painted Greenling,,Hexagrammidae,Oxylebius,pictus,Oxylebius pictus,0.01122,3.04,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,4,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,10,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,5,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,5,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,7,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,6,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,3,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,3,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,3,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,8,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,9,Scalyhead Sculpin,,Cottidae,Artedius,harringtoni,Artedius harringtoni,0.00646,3.16,FishBase
18-Oct-19,Porlier,Hi,1,15,Pass Two,14,Copper Rockfish,,Sebastidae,Sebastes,caurinus,Sebastes caurinus,0.00001597,3.0405,California Fish and Game Fish Bulletin 177
18-Oct-19,Porlier,Hi,1,3,Pass One,8,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,8,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,8,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,8,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,3,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,9,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,9,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,9,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,9,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,9,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,9,Kelp Perch,,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,0.01318,3.05,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,7,Pile Perch,,Embiotocidae,Rhacochilus,vacca,Rhacochilus vacca,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Pile Perch,,Embiotocidae,Rhacochilus,vacca,Rhacochilus vacca,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
18-Oct-19,Porlier,Hi,1,3,Pass One,6,Shiner Perch,,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,0.0195,3.02,FishBase
