"Site","CurrentMax","CurrentMean","Hi_Lo","TransectDepth","CurrDepth","Replicate","TransectID","Richness","Abundance","Biomass","Biomass_kg","SlopeAngle","PercRock"
"Josef",87.7278048780488,14.8420929878049,"High",15,"High 15m",2,"Josef_15_2",6,43,19635.4957782336,19.64,30.7,100
"Josef",87.7278048780488,14.8420929878049,"High",15,"High 15m",3,"Josef_15_3",5,40,2039.45252753034,2.04,30.7,100
"Georgina",45.7778048780488,10.4706615853659,"Low",3,"Low 3m",1,"Georgina_3_1",3,7,9516.84007636775,9.52,6.9,100
"Georgina",45.7778048780488,10.4706615853659,"Low",3,"Low 3m",2,"Georgina_3_2",4,4,4641.60340548372,4.64,6.9,100
"Georgina",45.7778048780488,10.4706615853659,"Low",3,"Low 3m",3,"Georgina_3_3",2,2,105.236407849512,0.11,6.9,90
"Georgina",45.7778048780488,10.4706615853659,"Low",15,"Low 15m",1,"Georgina_15_1",7,46,4282.714851554,4.28,6.9,100
"Georgina",45.7778048780488,10.4706615853659,"Low",15,"Low 15m",2,"Georgina_15_2",5,37,1010.88200549594,1.01,6.9,100
"Georgina",45.7778048780488,10.4706615853659,"Low",15,"Low 15m",3,"Georgina_15_3",7,58,343.899140512327,0.34,6.9,100
"Anniversary",24.0641463414634,4.06580758807588,"Low",3,"Low 3m",1,"Anniversary_3_1",4,34,976.116562731777,0.98,29.7,100
"Anniversary",24.0641463414634,4.06580758807588,"Low",3,"Low 3m",2,"Anniversary_3_2",3,46,348.778068932182,0.35,29.7,100
"Anniversary",24.0641463414634,4.06580758807588,"Low",3,"Low 3m",3,"Anniversary_3_3",1,8,19.0748219906518,0.02,29.7,100
"Anniversary",24.0641463414634,4.06580758807588,"Low",15,"Low 15m",1,"Anniversary_15_1",5,16,1068.38548377864,1.07,29.7,30
"Anniversary",24.0641463414634,4.06580758807588,"Low",15,"Low 15m",2,"Anniversary_15_2",1,3,13.2318937238726,0.01,29.7,80
"Anniversary",24.0641463414634,4.06580758807588,"Low",15,"Low 15m",3,"Anniversary_15_3",3,47,9442.15163455231,9.44,29.7,50
"Anniversary",24.0641463414634,4.06580758807588,"Low",15,"Low 15m",4,"Anniversary_15_4",2,14,44.3624823793836,0.04,29.7,40
"Snake",21.7256097560976,6.74896697154471,"Low",3,"Low 3m",1,"Snake_3_1",1,1,1.85861941398117,0,7.8,100
"Snake",21.7256097560976,6.74896697154471,"Low",3,"Low 3m",2,"Snake_3_2",5,21,6263.95638084253,6.26,7.8,100
"Snake",21.7256097560976,6.74896697154471,"Low",3,"Low 3m",3,"Snake_3_3",2,9,954.260431003939,0.95,7.8,90
"Snake",21.7256097560976,6.74896697154471,"Low",3,"Low 3m",4,"Snake_3_4",5,9,16.35772219878,0.02,7.8,100
"Snake",21.7256097560976,6.74896697154471,"Low",15,"Low 15m",1,"Snake_15_1",3,28,7571.81431110417,7.57,7.8,100
"Snake",21.7256097560976,6.74896697154471,"Low",15,"Low 15m",2,"Snake_15_2",5,80,4993.68789832478,4.99,7.8,100
"Snake",21.7256097560976,6.74896697154471,"Low",15,"Low 15m",3,"Snake_15_3",5,49,1145.92716214041,1.15,7.8,100
"Snake",21.7256097560976,6.74896697154471,"Low",15,"Low 15m",4,"Snake_15_4",5,38,10212.9617218782,10.21,7.8,100
"Dragon",21.21,4.22631961382114,"Low",3,"Low 3m",1,"Dragon_3_1",5,22,388.996470780422,0.39,26.4,100
"Dragon",21.21,4.22631961382114,"Low",3,"Low 3m",2,"Dragon_3_2",4,19,242.44372269551,0.24,26.4,100
"Dragon",21.21,4.22631961382114,"Low",3,"Low 3m",3,"Dragon_3_3",5,11,63.8591438980365,0.06,26.4,100
"Dragon",21.21,4.22631961382114,"Low",3,"Low 3m",4,"Dragon_3_4",4,14,1149.48104221547,1.15,26.4,100
"Dragon",21.21,4.22631961382114,"Low",15,"Low 15m",1,"Dragon_15_1",5,27,5031.31046909776,5.03,26.4,70
"Dragon",21.21,4.22631961382114,"Low",15,"Low 15m",2,"Dragon_15_2",5,13,1907.77626473775,1.91,26.4,100
"Dragon",21.21,4.22631961382114,"Low",15,"Low 15m",3,"Dragon_15_3",3,35,4739.57438976797,4.74,26.4,100
"Dragon",21.21,4.22631961382114,"Low",15,"Low 15m",4,"Dragon_15_4",6,22,1912.09576381565,1.91,26.4,100
"Coffin",13.839512195122,4.09388245257453,"Low",3,"Low 3m",1,"Coffin_3_1",6,26,82.2279176203198,0.08,4.9,90
"Coffin",13.839512195122,4.09388245257453,"Low",3,"Low 3m",2,"Coffin_3_2",4,10,17.394839475352,0.02,4.9,100
"Coffin",13.839512195122,4.09388245257453,"Low",3,"Low 3m",3,"Coffin_3_3",3,7,6.97105671626928,0.01,4.9,70
"Coffin",13.839512195122,4.09388245257453,"Low",15,"Low 15m",1,"Coffin_15_1",5,16,191.035449026546,0.19,4.9,20
"Coffin",13.839512195122,4.09388245257453,"Low",15,"Low 15m",2,"Coffin_15_2",4,15,393.28782448098,0.39,4.9,50
"Coffin",13.839512195122,4.09388245257453,"Low",15,"Low 15m",3,"Coffin_15_3",5,32,88.4253671490572,0.09,4.9,70
"McKenzie",6.09658536585366,1.32736636178862,"Low",3,"Low 3m",1,"McKenzie_3_1",5,19,2716.57353394807,2.72,20.4,90
"McKenzie",6.09658536585366,1.32736636178862,"Low",3,"Low 3m",2,"McKenzie_3_2",3,15,92.6711654193016,0.09,20.4,80
"McKenzie",6.09658536585366,1.32736636178862,"Low",3,"Low 3m",3,"McKenzie_3_3",5,28,130.430350022308,0.13,20.4,80
"McKenzie",6.09658536585366,1.32736636178862,"Low",3,"Low 3m",4,"McKenzie_3_4",5,24,90.1089914132288,0.09,20.4,90
"McKenzie",6.09658536585366,1.32736636178862,"Low",15,"Low 15m",1,"McKenzie_15_1",5,13,1401.23394797142,1.4,20.4,100
"McKenzie",6.09658536585366,1.32736636178862,"Low",15,"Low 15m",2,"McKenzie_15_2",6,27,620.3578289618,0.62,20.4,90
"McKenzie",6.09658536585366,1.32736636178862,"Low",15,"Low 15m",3,"McKenzie_15_3",5,22,13815.5541531643,13.82,20.4,100
"McKenzie",6.09658536585366,1.32736636178862,"Low",15,"Low 15m",4,"McKenzie_15_4",6,14,66.1085266316045,0.07,20.4,100
