"Site","TransectDepth","Replicate","Latin","SiteID","SpeciesID","Count","Biomass","Hi_Lo","Site_Richness","Site_Abundance","Site_Biomass"
"McKenzie","15","2","Anoplarchus sp.","McKenzie_15_2","McKenzie_15_2_Anoplarchus sp.",1,6.9,"Low",8,31,648.39
"Porlier","15","2","Anoplarchus sp.","Porlier_15_2","Porlier_15_2_Anoplarchus sp.",0,0,"High",8,91,2369.37
"Snake","15","2","Anoplarchus sp.","Snake_15_2","Snake_15_2_Anoplarchus sp.",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Anoplarchus sp.","Anniversary_3_3","Anniversary_3_3_Anoplarchus sp.",0,0,"Low",3,48,1294.89
"Burial","3","3","Anoplarchus sp.","Burial_3_3","Burial_3_3_Anoplarchus sp.",0,0,"High",3,6,16.09
"Coffin","3","3","Anoplarchus sp.","Coffin_3_3","Coffin_3_3_Anoplarchus sp.",0,0,"Low",3,7,6.97
"Dragon","3","3","Anoplarchus sp.","Dragon_3_3","Dragon_3_3_Anoplarchus sp.",0,0,"Low",7,28,471.87
"Georgina","3","3","Anoplarchus sp.","Georgina_3_3","Georgina_3_3_Anoplarchus sp.",0,0,"Low",3,3,112.72
"Grainger","3","3","Anoplarchus sp.","Grainger_3_3","Grainger_3_3_Anoplarchus sp.",1,1.04,"High",7,18,3116.84
"Josef","3","3","Anoplarchus sp.","Josef_3_3","Josef_3_3_Anoplarchus sp.",0,0,"High",5,45,1772.58
"McKenzie","3","3","Anoplarchus sp.","McKenzie_3_3","McKenzie_3_3_Anoplarchus sp.",0,0,"Low",5,28,130.43
"Porlier","3","3","Anoplarchus sp.","Porlier_3_3","Porlier_3_3_Anoplarchus sp.",0,0,"High",7,24,18165.49
"Snake","3","3","Anoplarchus sp.","Snake_3_3","Snake_3_3_Anoplarchus sp.",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Anoplarchus sp.","Anniversary_15_3","Anniversary_15_3_Anoplarchus sp.",0,0,"Low",3,47,9442.15
"Burial","15","3","Anoplarchus sp.","Burial_15_3","Burial_15_3_Anoplarchus sp.",0,0,"High",1,24,11.86
"Coffin","15","3","Anoplarchus sp.","Coffin_15_3","Coffin_15_3_Anoplarchus sp.",0,0,"Low",5,32,88.42
"Dragon","15","3","Anoplarchus sp.","Dragon_15_3","Dragon_15_3_Anoplarchus sp.",0,0,"Low",5,72,5875.21
"Georgina","15","3","Anoplarchus sp.","Georgina_15_3","Georgina_15_3_Anoplarchus sp.",0,0,"Low",7,58,343.89
"Grainger","15","3","Anoplarchus sp.","Grainger_15_3","Grainger_15_3_Anoplarchus sp.",0,0,"High",5,89,2108.31
"Josef","15","3","Anoplarchus sp.","Josef_15_3","Josef_15_3_Anoplarchus sp.",0,0,"High",6,41,2123.88
"McKenzie","15","3","Anoplarchus sp.","McKenzie_15_3","McKenzie_15_3_Anoplarchus sp.",0,0,"Low",5,22,13815.55
"Porlier","15","3","Anoplarchus sp.","Porlier_15_3","Porlier_15_3_Anoplarchus sp.",2,4.73,"High",8,81,7335.53
"Snake","15","3","Anoplarchus sp.","Snake_15_3","Snake_15_3_Anoplarchus sp.",0,0,"Low",6,50,1202.35
"Burial","3","4","Anoplarchus sp.","Burial_3_4","Burial_3_4_Anoplarchus sp.",0,0,"High",1,10,7.96
"Dragon","3","4","Anoplarchus sp.","Dragon_3_4","Dragon_3_4_Anoplarchus sp.",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Anoplarchus sp.","McKenzie_3_4","McKenzie_3_4_Anoplarchus sp.",0,0,"Low",5,24,90.11
"Snake","3","4","Anoplarchus sp.","Snake_3_4","Snake_3_4_Anoplarchus sp.",0,0,"Low",5,9,16.36
"Anniversary","15","4","Anoplarchus sp.","Anniversary_15_4","Anniversary_15_4_Anoplarchus sp.",0,0,"Low",2,14,44.36
"Burial","15","4","Anoplarchus sp.","Burial_15_4","Burial_15_4_Anoplarchus sp.",0,0,"High",4,20,196.44
"Dragon","15","4","Anoplarchus sp.","Dragon_15_4","Dragon_15_4_Anoplarchus sp.",0,0,"Low",8,524,2616.28
"McKenzie","15","4","Anoplarchus sp.","McKenzie_15_4","McKenzie_15_4_Anoplarchus sp.",0,0,"Low",6,14,66.1
"Snake","15","4","Anoplarchus sp.","Snake_15_4","Snake_15_4_Anoplarchus sp.",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Artedius fenestralis","Anniversary_3_1","Anniversary_3_1_Artedius fenestralis",0,0,"Low",8,206,2214.53
"Burial","3","1","Artedius fenestralis","Burial_3_1","Burial_3_1_Artedius fenestralis",0,0,"High",5,11,6072.13
"Coffin","3","1","Artedius fenestralis","Coffin_3_1","Coffin_3_1_Artedius fenestralis",2,2.37,"Low",7,27,84.02
"Dragon","3","1","Artedius fenestralis","Dragon_3_1","Dragon_3_1_Artedius fenestralis",0,0,"Low",7,75,766.57
"Georgina","3","1","Artedius fenestralis","Georgina_3_1","Georgina_3_1_Artedius fenestralis",0,0,"Low",3,7,9516.84
"Grainger","3","1","Artedius fenestralis","Grainger_3_1","Grainger_3_1_Artedius fenestralis",0,0,"High",4,24,943.43
"Josef","3","1","Artedius fenestralis","Josef_3_1","Josef_3_1_Artedius fenestralis",0,0,"High",7,78,3728.68
"McKenzie","3","1","Artedius fenestralis","McKenzie_3_1","McKenzie_3_1_Artedius fenestralis",1,0.21,"Low",7,24,3056.39
"Porlier","3","1","Artedius fenestralis","Porlier_3_1","Porlier_3_1_Artedius fenestralis",0,0,"High",7,85,5459.05
"Snake","3","1","Artedius fenestralis","Snake_3_1","Snake_3_1_Artedius fenestralis",0,0,"Low",1,1,1.86
"Anniversary","15","1","Artedius fenestralis","Anniversary_15_1","Anniversary_15_1_Artedius fenestralis",0,0,"Low",7,27,1423.05
"Burial","15","1","Artedius fenestralis","Burial_15_1","Burial_15_1_Artedius fenestralis",0,0,"High",3,12,45.57
"Coffin","15","1","Artedius fenestralis","Coffin_15_1","Coffin_15_1_Artedius fenestralis",0,0,"Low",5,16,191.03
"Dragon","15","1","Artedius fenestralis","Dragon_15_1","Dragon_15_1_Artedius fenestralis",0,0,"Low",7,44,5167.22
"Georgina","15","1","Artedius fenestralis","Georgina_15_1","Georgina_15_1_Artedius fenestralis",0,0,"Low",7,46,4282.72
"Grainger","15","1","Artedius fenestralis","Grainger_15_1","Grainger_15_1_Artedius fenestralis",0,0,"High",8,42,10868.44
"Josef","15","1","Artedius fenestralis","Josef_15_1","Josef_15_1_Artedius fenestralis",0,0,"High",6,39,8799.9
"McKenzie","15","1","Artedius fenestralis","McKenzie_15_1","McKenzie_15_1_Artedius fenestralis",0,0,"Low",6,14,1411.65
"Porlier","15","1","Artedius fenestralis","Porlier_15_1","Porlier_15_1_Artedius fenestralis",0,0,"High",7,46,8713.67
"Snake","15","1","Artedius fenestralis","Snake_15_1","Snake_15_1_Artedius fenestralis",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Artedius fenestralis","Anniversary_3_2","Anniversary_3_2_Artedius fenestralis",0,0,"Low",5,61,756.36
"Burial","3","2","Artedius fenestralis","Burial_3_2","Burial_3_2_Artedius fenestralis",0,0,"High",3,61,375.03
"Coffin","3","2","Artedius fenestralis","Coffin_3_2","Coffin_3_2_Artedius fenestralis",0,0,"Low",4,10,17.4
"Dragon","3","2","Artedius fenestralis","Dragon_3_2","Dragon_3_2_Artedius fenestralis",1,1.04,"Low",6,28,305.28
"Georgina","3","2","Artedius fenestralis","Georgina_3_2","Georgina_3_2_Artedius fenestralis",0,0,"Low",5,6,4691.88
"Grainger","3","2","Artedius fenestralis","Grainger_3_2","Grainger_3_2_Artedius fenestralis",0,0,"High",3,3,92.02
"Josef","3","2","Artedius fenestralis","Josef_3_2","Josef_3_2_Artedius fenestralis",0,0,"High",7,43,4102.42
"McKenzie","3","2","Artedius fenestralis","McKenzie_3_2","McKenzie_3_2_Artedius fenestralis",0,0,"Low",4,17,100.77
"Porlier","3","2","Artedius fenestralis","Porlier_3_2","Porlier_3_2_Artedius fenestralis",0,0,"High",3,11,7847.72
"Snake","3","2","Artedius fenestralis","Snake_3_2","Snake_3_2_Artedius fenestralis",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Artedius fenestralis","Anniversary_15_2","Anniversary_15_2_Artedius fenestralis",0,0,"Low",3,18,151.28
"Burial","15","2","Artedius fenestralis","Burial_15_2","Burial_15_2_Artedius fenestralis",0,0,"High",4,30,39.61
"Coffin","15","2","Artedius fenestralis","Coffin_15_2","Coffin_15_2_Artedius fenestralis",0,0,"Low",4,15,393.28
"Dragon","15","2","Artedius fenestralis","Dragon_15_2","Dragon_15_2_Artedius fenestralis",0,0,"Low",7,266,2677.39
"Georgina","15","2","Artedius fenestralis","Georgina_15_2","Georgina_15_2_Artedius fenestralis",0,0,"Low",5,37,1010.88
"Grainger","15","2","Artedius fenestralis","Grainger_15_2","Grainger_15_2_Artedius fenestralis",0,0,"High",5,47,8353.74
"Josef","15","2","Artedius fenestralis","Josef_15_2","Josef_15_2_Artedius fenestralis",0,0,"High",7,45,19741.24
"McKenzie","15","2","Artedius fenestralis","McKenzie_15_2","McKenzie_15_2_Artedius fenestralis",0,0,"Low",8,31,648.39
"Porlier","15","2","Artedius fenestralis","Porlier_15_2","Porlier_15_2_Artedius fenestralis",0,0,"High",8,91,2369.37
"Snake","15","2","Artedius fenestralis","Snake_15_2","Snake_15_2_Artedius fenestralis",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Artedius fenestralis","Anniversary_3_3","Anniversary_3_3_Artedius fenestralis",0,0,"Low",3,48,1294.89
"Burial","3","3","Artedius fenestralis","Burial_3_3","Burial_3_3_Artedius fenestralis",0,0,"High",3,6,16.09
"Coffin","3","3","Artedius fenestralis","Coffin_3_3","Coffin_3_3_Artedius fenestralis",0,0,"Low",3,7,6.97
"Dragon","3","3","Artedius fenestralis","Dragon_3_3","Dragon_3_3_Artedius fenestralis",0,0,"Low",7,28,471.87
"Georgina","3","3","Artedius fenestralis","Georgina_3_3","Georgina_3_3_Artedius fenestralis",0,0,"Low",3,3,112.72
"Grainger","3","3","Artedius fenestralis","Grainger_3_3","Grainger_3_3_Artedius fenestralis",0,0,"High",7,18,3116.84
"Josef","3","3","Artedius fenestralis","Josef_3_3","Josef_3_3_Artedius fenestralis",0,0,"High",5,45,1772.58
"McKenzie","3","3","Artedius fenestralis","McKenzie_3_3","McKenzie_3_3_Artedius fenestralis",3,12.88,"Low",5,28,130.43
"Porlier","3","3","Artedius fenestralis","Porlier_3_3","Porlier_3_3_Artedius fenestralis",1,4.61,"High",7,24,18165.49
"Snake","3","3","Artedius fenestralis","Snake_3_3","Snake_3_3_Artedius fenestralis",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Artedius fenestralis","Anniversary_15_3","Anniversary_15_3_Artedius fenestralis",0,0,"Low",3,47,9442.15
"Burial","15","3","Artedius fenestralis","Burial_15_3","Burial_15_3_Artedius fenestralis",0,0,"High",1,24,11.86
"Coffin","15","3","Artedius fenestralis","Coffin_15_3","Coffin_15_3_Artedius fenestralis",0,0,"Low",5,32,88.42
"Dragon","15","3","Artedius fenestralis","Dragon_15_3","Dragon_15_3_Artedius fenestralis",0,0,"Low",5,72,5875.21
"Georgina","15","3","Artedius fenestralis","Georgina_15_3","Georgina_15_3_Artedius fenestralis",0,0,"Low",7,58,343.89
"Grainger","15","3","Artedius fenestralis","Grainger_15_3","Grainger_15_3_Artedius fenestralis",0,0,"High",5,89,2108.31
"Josef","15","3","Artedius fenestralis","Josef_15_3","Josef_15_3_Artedius fenestralis",0,0,"High",6,41,2123.88
"McKenzie","15","3","Artedius fenestralis","McKenzie_15_3","McKenzie_15_3_Artedius fenestralis",0,0,"Low",5,22,13815.55
"Porlier","15","3","Artedius fenestralis","Porlier_15_3","Porlier_15_3_Artedius fenestralis",0,0,"High",8,81,7335.53
"Snake","15","3","Artedius fenestralis","Snake_15_3","Snake_15_3_Artedius fenestralis",0,0,"Low",6,50,1202.35
"Burial","3","4","Artedius fenestralis","Burial_3_4","Burial_3_4_Artedius fenestralis",0,0,"High",1,10,7.96
"Dragon","3","4","Artedius fenestralis","Dragon_3_4","Dragon_3_4_Artedius fenestralis",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Artedius fenestralis","McKenzie_3_4","McKenzie_3_4_Artedius fenestralis",0,0,"Low",5,24,90.11
"Snake","3","4","Artedius fenestralis","Snake_3_4","Snake_3_4_Artedius fenestralis",0,0,"Low",5,9,16.36
"Anniversary","15","4","Artedius fenestralis","Anniversary_15_4","Anniversary_15_4_Artedius fenestralis",0,0,"Low",2,14,44.36
"Burial","15","4","Artedius fenestralis","Burial_15_4","Burial_15_4_Artedius fenestralis",0,0,"High",4,20,196.44
"Dragon","15","4","Artedius fenestralis","Dragon_15_4","Dragon_15_4_Artedius fenestralis",0,0,"Low",8,524,2616.28
"McKenzie","15","4","Artedius fenestralis","McKenzie_15_4","McKenzie_15_4_Artedius fenestralis",0,0,"Low",6,14,66.1
"Snake","15","4","Artedius fenestralis","Snake_15_4","Snake_15_4_Artedius fenestralis",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Artedius harringtoni","Anniversary_3_1","Anniversary_3_1_Artedius harringtoni",0,0,"Low",8,206,2214.53
"Burial","3","1","Artedius harringtoni","Burial_3_1","Burial_3_1_Artedius harringtoni",5,10.22,"High",5,11,6072.13
"Coffin","3","1","Artedius harringtoni","Coffin_3_1","Coffin_3_1_Artedius harringtoni",13,26.19,"Low",7,27,84.02
"Dragon","3","1","Artedius harringtoni","Dragon_3_1","Dragon_3_1_Artedius harringtoni",2,1.25,"Low",7,75,766.57
"Georgina","3","1","Artedius harringtoni","Georgina_3_1","Georgina_3_1_Artedius harringtoni",0,0,"Low",3,7,9516.84
"Grainger","3","1","Artedius harringtoni","Grainger_3_1","Grainger_3_1_Artedius harringtoni",3,0.78,"High",4,24,943.43
"Josef","3","1","Artedius harringtoni","Josef_3_1","Josef_3_1_Artedius harringtoni",8,8.75,"High",7,78,3728.68
"McKenzie","3","1","Artedius harringtoni","McKenzie_3_1","McKenzie_3_1_Artedius harringtoni",0,0,"Low",7,24,3056.39
"Porlier","3","1","Artedius harringtoni","Porlier_3_1","Porlier_3_1_Artedius harringtoni",0,0,"High",7,85,5459.05
"Snake","3","1","Artedius harringtoni","Snake_3_1","Snake_3_1_Artedius harringtoni",1,1.86,"Low",1,1,1.86
"Anniversary","15","1","Artedius harringtoni","Anniversary_15_1","Anniversary_15_1_Artedius harringtoni",0,0,"Low",7,27,1423.05
"Burial","15","1","Artedius harringtoni","Burial_15_1","Burial_15_1_Artedius harringtoni",10,35.97,"High",3,12,45.57
"Coffin","15","1","Artedius harringtoni","Coffin_15_1","Coffin_15_1_Artedius harringtoni",1,1.04,"Low",5,16,191.03
"Dragon","15","1","Artedius harringtoni","Dragon_15_1","Dragon_15_1_Artedius harringtoni",0,0,"Low",7,44,5167.22
"Georgina","15","1","Artedius harringtoni","Georgina_15_1","Georgina_15_1_Artedius harringtoni",0,0,"Low",7,46,4282.72
"Grainger","15","1","Artedius harringtoni","Grainger_15_1","Grainger_15_1_Artedius harringtoni",18,5.68,"High",8,42,10868.44
"Josef","15","1","Artedius harringtoni","Josef_15_1","Josef_15_1_Artedius harringtoni",28,25.9,"High",6,39,8799.9
"McKenzie","15","1","Artedius harringtoni","McKenzie_15_1","McKenzie_15_1_Artedius harringtoni",0,0,"Low",6,14,1411.65
"Porlier","15","1","Artedius harringtoni","Porlier_15_1","Porlier_15_1_Artedius harringtoni",16,45.47,"High",7,46,8713.67
"Snake","15","1","Artedius harringtoni","Snake_15_1","Snake_15_1_Artedius harringtoni",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Artedius harringtoni","Anniversary_3_2","Anniversary_3_2_Artedius harringtoni",0,0,"Low",5,61,756.36
"Burial","3","2","Artedius harringtoni","Burial_3_2","Burial_3_2_Artedius harringtoni",0,0,"High",3,61,375.03
"Coffin","3","2","Artedius harringtoni","Coffin_3_2","Coffin_3_2_Artedius harringtoni",5,5.51,"Low",4,10,17.4
"Dragon","3","2","Artedius harringtoni","Dragon_3_2","Dragon_3_2_Artedius harringtoni",0,0,"Low",6,28,305.28
"Georgina","3","2","Artedius harringtoni","Georgina_3_2","Georgina_3_2_Artedius harringtoni",1,3.03,"Low",5,6,4691.88
"Grainger","3","2","Artedius harringtoni","Grainger_3_2","Grainger_3_2_Artedius harringtoni",0,0,"High",3,3,92.02
"Josef","3","2","Artedius harringtoni","Josef_3_2","Josef_3_2_Artedius harringtoni",6,11.37,"High",7,43,4102.42
"McKenzie","3","2","Artedius harringtoni","McKenzie_3_2","McKenzie_3_2_Artedius harringtoni",0,0,"Low",4,17,100.77
"Porlier","3","2","Artedius harringtoni","Porlier_3_2","Porlier_3_2_Artedius harringtoni",1,0.52,"High",3,11,7847.72
"Snake","3","2","Artedius harringtoni","Snake_3_2","Snake_3_2_Artedius harringtoni",1,0.52,"Low",5,21,6263.96
"Anniversary","15","2","Artedius harringtoni","Anniversary_15_2","Anniversary_15_2_Artedius harringtoni",0,0,"Low",3,18,151.28
"Burial","15","2","Artedius harringtoni","Burial_15_2","Burial_15_2_Artedius harringtoni",26,22.41,"High",4,30,39.61
"Coffin","15","2","Artedius harringtoni","Coffin_15_2","Coffin_15_2_Artedius harringtoni",3,0.47,"Low",4,15,393.28
"Dragon","15","2","Artedius harringtoni","Dragon_15_2","Dragon_15_2_Artedius harringtoni",0,0,"Low",7,266,2677.39
"Georgina","15","2","Artedius harringtoni","Georgina_15_2","Georgina_15_2_Artedius harringtoni",1,1.86,"Low",5,37,1010.88
"Grainger","15","2","Artedius harringtoni","Grainger_15_2","Grainger_15_2_Artedius harringtoni",35,49.14,"High",5,47,8353.74
"Josef","15","2","Artedius harringtoni","Josef_15_2","Josef_15_2_Artedius harringtoni",29,31.49,"High",7,45,19741.24
"McKenzie","15","2","Artedius harringtoni","McKenzie_15_2","McKenzie_15_2_Artedius harringtoni",0,0,"Low",8,31,648.39
"Porlier","15","2","Artedius harringtoni","Porlier_15_2","Porlier_15_2_Artedius harringtoni",37,42.47,"High",8,91,2369.37
"Snake","15","2","Artedius harringtoni","Snake_15_2","Snake_15_2_Artedius harringtoni",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Artedius harringtoni","Anniversary_3_3","Anniversary_3_3_Artedius harringtoni",0,0,"Low",3,48,1294.89
"Burial","3","3","Artedius harringtoni","Burial_3_3","Burial_3_3_Artedius harringtoni",3,3.42,"High",3,6,16.09
"Coffin","3","3","Artedius harringtoni","Coffin_3_3","Coffin_3_3_Artedius harringtoni",4,1.98,"Low",3,7,6.97
"Dragon","3","3","Artedius harringtoni","Dragon_3_3","Dragon_3_3_Artedius harringtoni",1,0.21,"Low",7,28,471.87
"Georgina","3","3","Artedius harringtoni","Georgina_3_3","Georgina_3_3_Artedius harringtoni",0,0,"Low",3,3,112.72
"Grainger","3","3","Artedius harringtoni","Grainger_3_3","Grainger_3_3_Artedius harringtoni",0,0,"High",7,18,3116.84
"Josef","3","3","Artedius harringtoni","Josef_3_3","Josef_3_3_Artedius harringtoni",5,6.59,"High",5,45,1772.58
"McKenzie","3","3","Artedius harringtoni","McKenzie_3_3","McKenzie_3_3_Artedius harringtoni",1,0.52,"Low",5,28,130.43
"Porlier","3","3","Artedius harringtoni","Porlier_3_3","Porlier_3_3_Artedius harringtoni",2,1.56,"High",7,24,18165.49
"Snake","3","3","Artedius harringtoni","Snake_3_3","Snake_3_3_Artedius harringtoni",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Artedius harringtoni","Anniversary_15_3","Anniversary_15_3_Artedius harringtoni",0,0,"Low",3,47,9442.15
"Burial","15","3","Artedius harringtoni","Burial_15_3","Burial_15_3_Artedius harringtoni",24,11.86,"High",1,24,11.86
"Coffin","15","3","Artedius harringtoni","Coffin_15_3","Coffin_15_3_Artedius harringtoni",1,1.86,"Low",5,32,88.42
"Dragon","15","3","Artedius harringtoni","Dragon_15_3","Dragon_15_3_Artedius harringtoni",0,0,"Low",5,72,5875.21
"Georgina","15","3","Artedius harringtoni","Georgina_15_3","Georgina_15_3_Artedius harringtoni",11,36.84,"Low",7,58,343.89
"Grainger","15","3","Artedius harringtoni","Grainger_15_3","Grainger_15_3_Artedius harringtoni",63,73.68,"High",5,89,2108.31
"Josef","15","3","Artedius harringtoni","Josef_15_3","Josef_15_3_Artedius harringtoni",34,15.15,"High",6,41,2123.88
"McKenzie","15","3","Artedius harringtoni","McKenzie_15_3","McKenzie_15_3_Artedius harringtoni",0,0,"Low",5,22,13815.55
"Porlier","15","3","Artedius harringtoni","Porlier_15_3","Porlier_15_3_Artedius harringtoni",29,34.66,"High",8,81,7335.53
"Snake","15","3","Artedius harringtoni","Snake_15_3","Snake_15_3_Artedius harringtoni",0,0,"Low",6,50,1202.35
"Burial","3","4","Artedius harringtoni","Burial_3_4","Burial_3_4_Artedius harringtoni",10,7.96,"High",1,10,7.96
"Dragon","3","4","Artedius harringtoni","Dragon_3_4","Dragon_3_4_Artedius harringtoni",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Artedius harringtoni","McKenzie_3_4","McKenzie_3_4_Artedius harringtoni",2,1.05,"Low",5,24,90.11
"Snake","3","4","Artedius harringtoni","Snake_3_4","Snake_3_4_Artedius harringtoni",2,0.72,"Low",5,9,16.36
"Anniversary","15","4","Artedius harringtoni","Anniversary_15_4","Anniversary_15_4_Artedius harringtoni",0,0,"Low",2,14,44.36
"Burial","15","4","Artedius harringtoni","Burial_15_4","Burial_15_4_Artedius harringtoni",16,10.42,"High",4,20,196.44
"Dragon","15","4","Artedius harringtoni","Dragon_15_4","Dragon_15_4_Artedius harringtoni",0,0,"Low",8,524,2616.28
"McKenzie","15","4","Artedius harringtoni","McKenzie_15_4","McKenzie_15_4_Artedius harringtoni",1,0.52,"Low",6,14,66.1
"Snake","15","4","Artedius harringtoni","Snake_15_4","Snake_15_4_Artedius harringtoni",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Brachyistius frenatus","Anniversary_3_1","Anniversary_3_1_Brachyistius frenatus",11,90.72,"Low",8,206,2214.53
"Burial","3","1","Brachyistius frenatus","Burial_3_1","Burial_3_1_Brachyistius frenatus",1,1.79,"High",5,11,6072.13
"Coffin","3","1","Brachyistius frenatus","Coffin_3_1","Coffin_3_1_Brachyistius frenatus",1,1.79,"Low",7,27,84.02
"Dragon","3","1","Brachyistius frenatus","Dragon_3_1","Dragon_3_1_Brachyistius frenatus",40,112.13,"Low",7,75,766.57
"Georgina","3","1","Brachyistius frenatus","Georgina_3_1","Georgina_3_1_Brachyistius frenatus",0,0,"Low",3,7,9516.84
